Subject,NEOFAC_N,NEOFAC_E,NEOFAC_O,NEOFAC_C,NEOFAC_A
100206,21.0,32.0,23.0,26.0,29.0
100610,7.0,15.0,33.0,36.0,31.0
101006,13.0,29.0,23.0,39.0,30.0
101107,12.0,28.0,35.0,37.0,28.0
101309,2.0,26.0,22.0,36.0,36.0
101915,8.0,31.0,30.0,45.0,35.0
102008,7.0,36.0,27.0,27.0,25.0
102109,19.0,37.0,41.0,30.0,39.0
102311,18.0,27.0,34.0,38.0,29.0
102513,12.0,27.0,39.0,27.0,26.0
102614,5.0,35.0,30.0,42.0,34.0
102715,6.0,36.0,26.0,38.0,38.0
103010,19.0,28.0,33.0,40.0,29.0
103111,8.0,29.0,27.0,41.0,38.0
103212,17.0,32.0,31.0,21.0,36.0
104012,19.0,36.0,25.0,39.0,36.0
104416,9.0,25.0,34.0,45.0,39.0
104820,15.0,39.0,19.0,32.0,33.0
105014,12.0,33.0,23.0,40.0,40.0
105620,26.0,23.0,30.0,38.0,29.0
105923,11.0,32.0,30.0,30.0,31.0
106016,12.0,27.0,24.0,34.0,35.0
106521,17.0,32.0,32.0,24.0,44.0
106824,22.0,29.0,29.0,34.0,28.0
107018,12.0,29.0,35.0,33.0,34.0
107321,9.0,28.0,33.0,33.0,37.0
107422,17.0,24.0,21.0,33.0,31.0
107725,20.0,24.0,22.0,44.0,38.0
108020,16.0,34.0,17.0,33.0,29.0
108121,21.0,33.0,24.0,35.0,35.0
108222,15.0,29.0,39.0,30.0,32.0
108323,17.0,28.0,29.0,26.0,35.0
108525,18.0,38.0,27.0,45.0,25.0
108828,35.0,29.0,36.0,30.0,30.0
109123,20.0,20.0,28.0,17.0,22.0
109325,12.0,27.0,20.0,33.0,28.0
109830,,,,,
110007,19.0,37.0,22.0,40.0,44.0
110613,12.0,37.0,33.0,39.0,38.0
111211,20.0,36.0,27.0,32.0,33.0
111413,27.0,35.0,34.0,32.0,35.0
111716,14.0,34.0,44.0,42.0,15.0
112112,10.0,36.0,40.0,41.0,45.0
112314,18.0,34.0,35.0,24.0,38.0
112516,12.0,27.0,28.0,30.0,34.0
112920,16.0,27.0,26.0,26.0,36.0
113316,12.0,29.0,31.0,37.0,30.0
113922,12.0,27.0,23.0,30.0,30.0
114217,9.0,35.0,25.0,39.0,43.0
114318,24.0,32.0,26.0,32.0,34.0
114419,25.0,37.0,32.0,40.0,37.0
114621,16.0,31.0,15.0,36.0,35.0
114823,21.0,33.0,40.0,30.0,29.0
115017,12.0,23.0,27.0,27.0,29.0
115219,18.0,24.0,27.0,29.0,36.0
115724,19.0,32.0,21.0,36.0,33.0
115825,23.0,27.0,27.0,37.0,34.0
