Subject,NEOFAC_N
100206,21.0
100610,7.0
101006,13.0
101107,12.0
101309,2.0
101915,8.0
102008,7.0
102109,19.0
102311,18.0
102513,12.0
102614,5.0
102715,6.0
103010,19.0
103111,8.0
103212,17.0
104012,19.0
104416,9.0
104820,15.0
105014,12.0
105620,26.0
105923,11.0
106016,12.0
106521,17.0
106824,22.0
107018,12.0
107321,9.0
107422,17.0
107725,20.0
108020,16.0
108121,21.0
108222,15.0
108323,17.0
108525,18.0
108828,35.0
109123,20.0
109325,12.0
110007,19.0
110613,12.0
111211,20.0
111413,27.0
111716,14.0
112112,10.0
112314,18.0
112516,12.0
112920,16.0
113316,12.0
113922,12.0
114217,9.0
114318,24.0
114419,25.0
114621,16.0
114823,21.0
115017,12.0
115219,18.0
115724,19.0
115825,23.0
116524,23.0
116726,13.0
117021,20.0
117930,18.0
118023,20.0
118124,19.0
118225,5.0
118528,19.0
118831,39.0
119025,1.0
119126,23.0
120414,12.0
120515,13.0
120717,19.0
121416,8.0
121618,25.0
121921,17.0
122317,13.0
122620,12.0
122822,11.0
123420,26.0
123521,18.0
123723,34.0
123824,16.0
123925,17.0
124220,18.0
124624,8.0
124826,14.0
125222,24.0
125424,11.0
126426,22.0
126628,9.0
127226,16.0
127327,14.0
127630,17.0
127731,15.0
127832,2.0
128026,22.0
128127,18.0
128935,12.0
129129,19.0
129331,15.0
129634,13.0
130114,3.0
130316,28.0
130417,17.0
130518,14.0
130619,19.0
130720,21.0
130821,25.0
131217,18.0
131419,15.0
131722,39.0
131823,19.0
132017,17.0
132118,16.0
133019,19.0
134021,9.0
134223,14.0
134425,12.0
134627,8.0
134728,8.0
134829,25.0
135124,26.0
135225,23.0
135528,20.0
135629,26.0
135730,22.0
136126,11.0
136227,21.0
136631,17.0
136732,5.0
137027,6.0
137229,6.0
137431,1.0
137532,15.0
137633,23.0
137936,18.0
138130,24.0
138332,10.0
138837,22.0
139233,11.0
139435,11.0
139839,17.0
140117,24.0
140319,22.0
140824,15.0
140925,23.0
141119,23.0
141422,16.0
141826,13.0
143224,18.0
143426,18.0
143830,23.0
144125,25.0
144731,13.0
144832,18.0
144933,38.0
145127,14.0
145632,41.0
145834,21.0
146129,11.0
146331,22.0
146432,13.0
146533,15.0
146735,16.0
146836,19.0
146937,16.0
147030,12.0
147636,21.0
147737,38.0
148133,34.0
148335,20.0
148436,11.0
148840,21.0
148941,6.0
149236,16.0
149741,9.0
149842,19.0
150625,11.0
150726,30.0
150928,20.0
151324,27.0
151425,18.0
151728,28.0
151829,17.0
151930,20.0
152225,1.0
152427,27.0
152831,26.0
153025,14.0
153126,16.0
153227,7.0
153631,38.0
153732,15.0
153833,17.0
153934,4.0
154229,25.0
154330,10.0
154532,15.0
154734,2.0
154835,17.0
154936,26.0
155635,15.0
155938,18.0
156031,8.0
156435,18.0
156536,11.0
157437,14.0
157942,34.0
158136,27.0
158338,19.0
158843,19.0
159138,2.0
159340,0.0
159441,22.0
159744,21.0
160729,14.0
160830,29.0
161630,0.0
161832,21.0
162026,18.0
162228,0.0
162733,19.0
162935,19.0
163129,17.0
163331,14.0
163836,22.0
164030,2.0
164131,21.0
164636,20.0
164939,42.0
165032,19.0
165436,28.0
165638,8.0
165941,22.0
166438,16.0
166640,14.0
167036,8.0
167238,13.0
167440,20.0
168139,14.0
168240,23.0
168341,11.0
168745,27.0
168947,13.0
169040,19.0
169444,20.0
169545,12.0
169949,1.0
170631,7.0
171330,16.0
171532,22.0
171633,16.0
172029,22.0
172130,17.0
172433,21.0
172534,16.0
172938,18.0
173334,22.0
173435,19.0
173536,16.0
173637,13.0
173738,20.0
173839,16.0
173940,12.0
174841,1.0
175035,18.0
175136,12.0
175237,15.0
175338,24.0
175540,10.0
175742,8.0
176037,21.0
176239,19.0
176441,14.0
176744,10.0
176845,8.0
177140,16.0
177241,9.0
177645,12.0
178142,23.0
178243,25.0
178647,19.0
178748,14.0
178849,18.0
178950,28.0
179245,27.0
179346,5.0
180129,43.0
180230,7.0
180432,15.0
180533,15.0
180735,21.0
180836,15.0
180937,25.0
181131,21.0
181232,11.0
181636,11.0
182032,21.0
182436,20.0
183034,11.0
185038,25.0
185341,20.0
185442,9.0
185846,17.0
185947,33.0
186040,14.0
186141,16.0
186444,31.0
186545,23.0
186848,15.0
187143,10.0
187345,25.0
187547,16.0
187850,15.0
188145,12.0
188347,14.0
188448,15.0
188549,21.0
188751,5.0
189349,6.0
189450,18.0
189652,29.0
191033,17.0
191235,2.0
191336,26.0
191841,18.0
191942,11.0
192035,4.0
192136,22.0
192237,26.0
192641,14.0
192843,15.0
193845,6.0
194443,23.0
194645,20.0
194746,10.0
194847,15.0
195041,3.0
195445,30.0
195849,23.0
195950,14.0
196346,12.0
197348,23.0
198047,20.0
198249,13.0
198350,3.0
198653,16.0
198855,15.0
199352,14.0
199453,16.0
199958,19.0
200008,14.0
200109,8.0
200311,9.0
200513,19.0
200917,13.0
201414,8.0
201515,2.0
201818,23.0
202113,12.0
202719,5.0
203418,22.0
203923,17.0
204016,15.0
204218,12.0
204319,25.0
204420,24.0
204521,11.0
204622,6.0
205220,13.0
206222,25.0
206323,9.0
206525,3.0
206727,27.0
206828,4.0
206929,11.0
207123,9.0
207426,15.0
208024,19.0
208125,20.0
208327,10.0
208630,16.0
209127,23.0
209228,22.0
209329,6.0
209834,20.0
210011,10.0
210112,16.0
210415,17.0
211114,14.0
211215,18.0
211316,26.0
211619,9.0
211720,14.0
211821,20.0
211922,28.0
212015,13.0
212116,12.0
212217,21.0
212419,10.0
212823,2.0
213017,12.0
213421,22.0
213522,27.0
214524,19.0
214625,28.0
214726,14.0
217126,23.0
219231,29.0
220721,34.0
223929,1.0
227432,13.0
227533,6.0
228434,14.0
231928,25.0
233326,19.0
236130,20.0
237334,18.0
238033,24.0
239136,15.0
248339,19.0
250932,22.0
255740,34.0
256540,9.0
257542,6.0
257845,9.0
257946,20.0
263436,25.0
268749,2.0
268850,18.0
270332,8.0
274542,25.0
275645,26.0
280739,17.0
280941,19.0
281135,11.0
283543,20.0
285345,7.0
285446,10.0
286347,27.0
286650,24.0
287248,10.0
289555,16.0
290136,22.0
295146,16.0
297655,17.0
298455,18.0
299154,9.0
299760,19.0
300618,7.0
300719,14.0
303119,14.0
303624,3.0
304727,5.0
305830,16.0
308129,15.0
308331,3.0
309636,25.0
310621,8.0
311320,20.0
314225,19.0
316633,21.0
316835,18.0
318637,10.0
